Postal Code,Borough,Neighbourhood,Latitude,Longitude,Amphitheater,Aquarium,Arcade,Art Gallery,Bowling Alley,Casino,Circus,Comedy Club,Concert Hall,Country Dance Club,Disc Golf,Escape Room,Exhibit,General Entertainment,Go Kart Track,Historic Site,Karaoke Box,Laser Tag,Memorial Site,Mini Golf,Movie Theater,Museum,Music Venue,Pachinko Parlor,Performing Arts Venue,Pool Hall,Public Art,Racecourse,Racetrack,Roller Rink,Salsa Club,Samba School,Stadium,Theme Park,Tour Provider,VR Cafe,Water Park,Zoo,College Academic Building,College Administrative Building,College Auditorium,College Bookstore,College Cafeteria,College Classroom,College Gym,College Lab,College Library,College Quad,College Rec Center,College Residence Hall,College Stadium,College Theater,Community College,Fraternity House,General College & University,Law School,Medical School,Sorority House,Student Center,Trade School,University,Christmas Market,Conference,Convention,Festival,Line / Queue,Music Festival,Other Event,Parade,Sporting Event,Stoop Sale,Street Fair,Trade Fair,Afghan Restaurant,African Restaurant,American Restaurant,Armenian Restaurant,Asian Restaurant,Australian Restaurant,Austrian Restaurant,BBQ Joint,Bagel Shop,Bakery,Bangladeshi Restaurant,Belgian Restaurant,Bistro,Breakfast Spot,Bubble Tea Shop,Buffet,Burger Joint,Cafeteria,Café,Cajun / Creole Restaurant,Caribbean Restaurant,Caucasian Restaurant,Coffee Shop,Comfort Food Restaurant,Creperie,Czech Restaurant,Deli / Bodega,Dessert Shop,Diner,Donut Shop,Dumpling Restaurant,Dutch Restaurant,Eastern European Restaurant,English Restaurant,Falafel Restaurant,Fast Food Restaurant,Fish & Chips Shop,Fondue Restaurant,Food Court,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Friterie,Gastropub,German Restaurant,Gluten-free Restaurant,Greek Restaurant,Halal Restaurant,Hawaiian Restaurant,Hot Dog Joint,Hungarian Restaurant,Indian Restaurant,Irish Pub,Italian Restaurant,Jewish Restaurant,Juice Bar,Kebab Restaurant,Latin American Restaurant,Mac & Cheese Joint,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Molecular Gastronomy Restaurant,Pakistani Restaurant,Pet Café,Pizza Place,Polish Restaurant,Portuguese Restaurant,Poutine Place,Restaurant,Russian Restaurant,Salad Place,Sandwich Place,Scandinavian Restaurant,Scottish Restaurant,Seafood Restaurant,Slovak Restaurant,Snack Place,Soup Place,Southern / Soul Food Restaurant,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Swiss Restaurant,Tea Room,Theme Restaurant,Turkish Restaurant,Ukrainian Restaurant,Vegetarian / Vegan Restaurant,Wings Joint,Bar,Brewery,Lounge,Night Market,Nightclub,Other Nightlife,Strip Club,Athletics & Sports,Bathing Area,Bay,Beach,Bike Trail,Boat Launch,Botanical Garden,Bridge,Campground,Canal Lock,Canal,Castle,Cave,Cemetery,Dam,Dive Spot,Dog Run,Farm,Field,Fishing Spot,Forest,Fountain,Garden,Gun Range,Harbor / Marina,Hill,Hot Spring,Indoor Play Area,Island,Lake,Lighthouse,Mountain Hut,Mountain,National Park,Nature Preserve,Other Great Outdoors,Palace,Park,Pedestrian Plaza,Picnic Area,Picnic Shelter,Playground,Plaza,Pool,Rafting,Recreation Center,Reservoir,River,Rock Climbing Spot,Roof Deck,Scenic Lookout,Sculpture Garden,Ski Area,Skydiving Drop Zone,Stables,State / Provincial Park,States & Municipalities,Summer Camp,Trail,Tree,Vineyard,Volcano,Waterfall,Waterfront,Well,Windmill,Animal Shelter,Architecture Firm,Art Studio,Auditorium,Ballroom,Building,Business Center,Cidery,Club House,Community Center,Convention Center,Cultural Center,Distillery,Distribution Center,Event Space,Factory,Fair,Funeral Home,Government Building,Industrial Estate,Library,Meadery,Medical Center,Military Base,Non-Profit,Observatory,Office,Parking,Post Office,Power Plant,Prison,Radio Station,Recruiting Agency,Research Laboratory,Research Station,School,Social Club,Spiritual Center,TV Station,Voting Booth,Warehouse,Waste Facility,Wedding Hall,Winery,Assisted Living,Home (private),Housing Development,Residential Building (Apartment / Condo),Trailer Park,ATM,Adult Boutique,Antique Shop,Arts & Crafts Store,Astrologer,Auto Dealership,Auto Garage,Auto Workshop,Automotive Shop,Baby Store,Bank,Bath House,Batik Shop,Betting Shop,Big Box Store,Bike Shop,Board Shop,Bookstore,Bridal Shop,Business Service,Camera Store,Candy Store,Car Wash,Carpet Store,Check Cashing Service,Child Care Service,Chocolate Shop,Clothing Store,Comic Shop,Construction & Landscaping,Convenience Store,Cosmetics Shop,Costume Shop,Credit Union,Currency Exchange,Department Store,Design Studio,Discount Store,Dive Shop,Drugstore,Dry Cleaner,EV Charging Station,Electronics Store,Entertainment Service,Event Service,Fabric Shop,Film Studio,Financial or Legal Service,Fireworks Store,Fishing Store,Flea Market,Floating Market,Flower Shop,Food & Drink Shop,Frame Store,Fruit & Vegetable Store,Furniture / Home Store,Gaming Cafe,Garden Center,Gas Station,Gift Shop,Gun Shop,Hardware Store,Health & Beauty Service,Herbs & Spices Store,Hobby Shop,Home Service,Hunting Supply,IT Services,Insurance Office,Internet Cafe,Jewelry Store,Kitchen Supply Store,Knitting Store,Laundromat,Laundry Service,Lawyer,Leather Goods Store,Locksmith,Lottery Retailer,Luggage Store,Marijuana Dispensary,Market,Massage Studio,Mattress Store,Medical Supply Store,Miscellaneous Shop,Mobile Phone Shop,Mobility Store,Motorcycle Shop,Motorsports Shop,Music Store,Nail Salon,Newsagent,Newsstand,Notary,Optical Shop,Other Repair Shop,Outdoor Supply Store,Outlet Mall,Outlet Store,Paper / Office Supplies Store,Pawn Shop,Perfume Shop,Pet Service,Pet Store,Pharmacy,Photography Lab,Photography Studio,Piercing Parlor,Pop-Up Shop,Print Shop,Public Bathroom,Real Estate Office,Record Shop,Recording Studio,Recycling Facility,Rental Service,Salon / Barbershop,Sauna / Steam Room,Shipping Store,Shoe Repair,Shopping Mall,Shopping Plaza,Skate Shop,Ski Shop,Smoke Shop,Smoothie Shop,Souvenir Shop,Spa,Sporting Goods Shop,Stationery Store,Storage Facility,Supplement Shop,Tailor Shop,Tanning Salon,Tattoo Parlor,Thrift / Vintage Store,Toy / Game Store,Travel Agency,Used Bookstore,Vape Store,Vehicle Inspection Station,Video Game Store,Video Store,Warehouse Store,Watch Shop,Airport,Baggage Locker,Bike Rental / Bike Share,Boat Rental,Boat or Ferry,Border Crossing,Bus Station,Bus Stop,Cable Car,Cruise Ship,Duty-free Shop,General Travel,Heliport,Hotel,Intersection,Light Rail Station,Marine Terminal,Metro Station,Moving Target,Pier,Port,RV Park,Rental Car Location,Rest Area,Road,Taxi Stand,Taxi,Toll Booth,Toll Plaza,Tourist Information Center,Train Station,Tram Station,Transportation Service,Travel Lounge,Truck Stop,Tunnel
M6B,North York,Glencairn,43.7081,-79.4479,0,0,0,5,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,0,1,0,8,0,0,0,0,0,0,0,0,8,0,4,0,7,0,0,0,1,4,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,11,0,1,0,6,0,2,2,1,0,0,0,0,6,0,2,0,9,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,7,0,1,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,2,0,0,0,1,1,1,0,0,10,0,0,0,23,0,3,0,38,2,2,0,0,1,0,0,0,6,0,14,0,0,0,0,0,0,1,0,1,15,0,2,0,2,5,0,4,1,0,18,0,8,0,0,0,0,2,0,1,0,1,0,1,3,2,1,1,0,21,0,3,16,6,0,0,0,3,4,2,0,0,0,0,3,0,0,0,0,1,0,0,2,0,1,14,0,0,21,0,0,10,0,0,4,2,0,2,0,1,0,0,0,1,0,0,1,4,3,0,0,0,0,0,1,1,4,0,7,7,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,1,1,3,1,0,0,0,1,0,1,0,1,0,2,9,1,1,1,3,0,0,0,1,0,0,3,4,0,1,0,2,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,5,8,0,0,0,3,0,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6505,-79.5517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,14,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1C,Scarborough,"Rouge Hill, Port Union, Highland Creek",43.7878,-79.1564,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,0,8,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M3C,North York,Don Mills,43.7334,-79.3329,0,0,0,5,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,3,0,0,0,1,1,0,1,1,8,0,0,0,9,0,0,0,4,3,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,1,0,2,1,2,0,0,0,0,3,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,1,0,0,1,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,21,0,0,0,2,1,1,0,1,3,2,0,0,0,0,0,0,22,0,1,0,45,1,3,0,0,0,0,0,0,6,0,12,0,0,0,0,1,0,2,0,3,21,0,2,0,0,0,0,2,1,0,4,0,4,0,0,0,0,3,1,0,0,5,0,1,0,0,0,0,1,40,0,1,3,8,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,10,0,0,8,0,0,2,4,0,2,2,0,0,0,0,1,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,4,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
M4C,East York,Woodbine Heights,43.6913,-79.3116,0,0,2,5,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,11,0,0,6,0,8,0,0,0,7,0,0,3,0,15,0,5,0,16,0,0,0,1,4,2,0,0,0,0,1,2,5,1,0,0,0,1,2,1,0,2,0,0,3,1,0,0,1,8,1,2,0,0,0,2,0,1,1,2,0,0,1,0,9,0,0,1,6,0,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,10,1,2,0,2,2,1,27,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,14,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,0,0,0,1,0,0,0,0,8,0,0,1,3,0,2,0,40,0,4,0,38,2,1,0,0,0,0,0,0,14,0,18,0,1,0,0,0,0,1,0,1,19,0,3,0,1,6,0,2,1,0,14,1,13,0,0,0,0,0,1,1,0,2,0,0,2,0,0,4,0,5,0,1,17,6,1,0,0,1,3,1,0,0,0,0,6,1,0,0,0,3,0,0,0,0,3,18,1,0,6,1,2,4,5,0,8,3,0,2,0,0,0,0,0,1,0,1,1,8,0,0,0,0,0,0,2,1,0,0,10,1,0,0,0,1,4,0,0,0,2,0,0,0,0,1,0,0,2,2,9,0,0,0,0,1,0,0,1,0,0,0,25,0,0,0,0,0,0,0,4,0,0,7,1,1,1,0,0,1,4,10,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,22,0,0,0,1,0,2,0,1,0,3,9,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756,0,4,10,45,2,4,1,8,21,1,0,1,3,44,0,18,0,0,0,2,40,14,40,0,48,7,33,1,5,0,0,0,12,3,1,0,2,1,45,25,24,4,9,29,8,38,10,5,4,9,1,2,5,0,23,1,3,1,24,10,33,1,1,0,2,0,0,3,0,2,0,0,0,1,11,47,0,50,3,0,20,16,48,0,1,10,49,27,1,26,10,49,3,17,0,50,3,4,0,47,47,17,6,4,0,2,1,12,48,2,0,49,7,46,7,12,0,20,3,9,27,5,6,46,0,41,5,46,1,34,3,6,0,32,39,42,2,1,2,0,37,1,1,3,45,0,50,49,0,0,13,0,21,9,3,10,1,18,0,18,3,3,0,26,3,50,13,50,0,46,28,8,42,0,0,3,0,0,0,5,2,0,0,0,0,2,0,0,13,3,2,0,0,2,13,0,5,0,2,1,0,1,0,0,0,0,0,45,0,36,3,0,0,9,19,16,0,3,0,0,0,4,21,13,2,0,0,0,2,1,2,0,1,0,0,0,2,0,1,0,1,9,4,46,6,0,1,8,49,1,2,2,48,2,1,1,50,0,13,0,46,9,38,0,48,48,21,0,0,7,8,0,1,35,3,42,4,8,2,2,0,5,4,0,14,48,1,22,2,11,17,1,6,1,1,23,0,44,2,0,0,0,2,2,17,5,13,9,17,5,0,1,1,12,49,1,1,50,49,0,5,13,17,39,5,0,0,3,2,41,0,0,0,1,9,0,1,4,0,18,47,3,1,41,4,1,10,42,0,10,26,1,9,1,1,11,3,0,35,2,1,1,46,6,5,0,0,9,4,15,14,2,1,37,38,1,0,0,3,28,0,17,0,39,3,0,0,0,32,2,2,3,10,47,9,6,1,8,14,6,12,5,1,0,4,43,0,10,6,16,0,0,0,17,10,1,46,31,5,1,2,8,6,9,10,13,16,0,3,0,13,0,0,4,1,0,50,0,12,0,46,47,3,1,0,38,0,47,0,47,0,8,39,2,0,0,43,1,1,2,1,0,0,8,30,4,5,8,0,0
M6C,York,Humewood-Cedarvale,43.6915,-79.4307,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,21,0,0,2,4,11,0,0,1,4,0,0,2,0,4,0,13,0,9,0,0,0,2,7,1,0,1,0,0,0,0,2,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,4,0,2,2,2,0,1,1,2,2,7,0,0,0,0,6,0,3,0,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,8,0,3,0,1,1,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,28,0,0,0,29,1,1,0,0,0,0,0,0,16,0,11,0,0,0,0,0,0,0,0,3,28,0,1,0,0,2,0,0,1,1,7,0,8,0,0,0,0,1,0,1,3,2,0,0,0,0,0,2,0,10,0,0,20,7,1,0,0,1,6,2,0,0,1,1,5,0,1,0,0,7,0,0,0,0,1,12,0,1,1,0,0,6,1,0,5,2,0,1,0,0,0,0,0,2,0,0,3,9,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,1,1,0,2,1,2,0,1,30,0,1,0,0,0,0,0,2,1,0,9,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,2,0,2,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6437,-79.5767,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,0,20,0,0,0,18,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,2,0,1,14,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,5,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
M1E,Scarborough,"Guildwood, Morningside, West Hill",43.7678,-79.1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,2,0,0,0,5,0,0,2,0,1,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,2,0,0,0,1,0,0,2,2,0,0,0,0,7,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,12,0,0,0,7,0,1,0,0,0,0,0,0,13,0,9,0,1,0,0,0,0,3,0,2,13,0,2,0,0,0,0,1,1,1,7,0,6,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,7,2,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,2,0,0,0,0,2,8,0,0,1,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
M4E,East Toronto,The Beaches,43.6784,-79.2941,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,3,10,0,0,0,6,0,0,5,0,14,0,3,0,22,0,0,0,2,8,4,2,0,0,1,0,0,4,5,0,0,0,1,1,0,0,3,0,1,2,1,0,2,0,4,0,1,0,4,0,1,0,1,4,3,0,0,0,0,11,0,0,1,11,0,1,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,3,14,0,1,0,0,1,0,25,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,10,0,0,0,9,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,3,0,0,0,1,7,1,0,1,4,0,2,0,37,1,1,0,29,2,1,0,0,0,0,0,0,22,0,11,0,0,0,0,0,0,1,0,2,18,0,1,0,0,2,0,1,1,0,6,1,12,0,0,0,0,1,1,7,0,1,1,2,1,0,0,2,2,17,1,1,12,3,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,10,19,1,1,11,0,0,5,4,0,6,3,0,1,0,0,2,0,0,2,0,0,1,11,2,0,1,0,0,1,1,5,1,0,8,8,0,0,0,2,7,0,1,0,2,0,0,0,0,1,0,0,5,7,4,1,0,0,1,1,0,2,1,0,0,0,20,0,2,0,0,0,0,0,5,0,0,17,2,1,2,0,1,0,1,3,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,1,0,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
